1 0.9226825331	0.399221251	0.1955923399	0.817467149	0.4351255699	0.2677637321
1 0.5626374301	0.7959322915	0.513955652	0.5203572023	0.0026444565	0.1578565208
1 0.5596339728	0.7953485216	0.5457456798	0.4906894544	0.0052043522	0.2344893518
1 0.5659923869	0.7973099884	0.4717764167	0.559720143	0.0048923081	0.0609444082
1 0.5620652386	0.7974829302	0.5024766975	0.5310691118	0.0016571967	0.1281053342
1 0.569393382	0.7961329623	0.4599701073	0.5707376913	0.004773923	0.2409876641
1 0.5516240227	0.7970159143	0.5884417911	0.450844145	0	0.0529381904
1 0.5453218778	0.7943451671	0.67235661	0.3725320193	0.0453692781	0.3710205435
1 0.6363763252	0.7429880116	0.529087197	0.5062354458	0.1965800669	0.3484792764
1 0.6959003174	0.6957829193	0.4877543461	0.5448103792	0.2865523945	0.5485614749
1 0.7163676729	0.6826831231	0.3754113472	0.6496527778	0.0267657987	0.5021020137
1 0.7458877847	0.6565747448	0.2966631347	0.7231432967	0.2013206544	1
1 0.7244031999	0.6700817205	0.4500848538	0.5799629907	0.2016518591	0.3461806679
1 0.7153336359	0.6862258766	0.3301287021	0.6919120093	0.1981780221	0.2140551849
1 0.7384397953	0.6625467107	0.3342034079	0.6881091983	0.1585477358	0.4971790036
1 0.7393130633	0.6598146677	0.3678757258	0.6566866267	0.1784160105	0.3424921616
1 0.7164765573	0.6833916738	0.3598469186	0.6641778942	0.0458127092	0.4158652819
1 0.7169617874	0.6825904497	0.3642705157	0.6600507319	0.0576406669	0.2668046646
1 0.7159723273	0.6844351625	0.3499336676	0.6734302229	0.0373789155	0.4458331553
1 0.7165964033	0.6846898321	0.3316341035	0.690506487	0.0707013553	0.2496070646
1 0.7184890929	0.6807253049	0.3737164246	0.6512350299	0.0644658498	0.5568815324
1 0.7036354987	0.70006852	0.2819752416	0.7368512974	0.1911694449	0.4094430134
1 0.7172650562	0.6817096869	0.3742892955	0.650700682	0.0599300658	0.2355018281
1 0.7160797502	0.685156848	0.3325063317	0.6896935296	0.0600570536	0.2526656026
1 0.7137485997	0.6874758739	0.3313218242	0.6907996507	0.0965811716	0
1 0.7235533165	0.6731136753	0.4146723868	0.6130135562	0.1751399384	0.2480966158
1 0.7241488926	0.6732924548	0.4030986716	0.6238127911	0.1786827926	0.3498696828
1 0.6974692767	0.7074320474	0.2447041746	0.7716317365	0.2623408216	0.2123827298
1 0	1	0.0817805517	0.9236797239	0.1017524816	0.3133127023
1 0.290886663	0.9510764352	0	1	0.194929029	0.4675618473
1 0.2927581603	0.9504561797	0.0094695991	0.9911635063	0.202176234	0.4536885571
1 1	0.0040374985	0.0727072242	0.9260957252	0.2871430494	0.1531318859
1 0.999959077	0.0002159949	0.0890663496	0.9097575682	0.2938499449	0.3270440779
1 0.9994650777	0	0.1276252994	0.8712470892	0.2902624152	0.2458676929
1 0.9976615418	0.0325028477	0.1514640513	0.8474405356	0.2952951041	0.3793403467
1 0.9975519266	0.0332668565	0.1546019193	0.8443072189	0.2913987563	0.281418301
1 0.997440119	0.0309872351	0.1679782395	0.8309485196	0.291027373	0.2424238494
1 0.6017225668	0.7946706188	0.3723854689	0.6268026447	0.6774526525	0.573779535
1 0.5885643547	0.806215398	0.3024263021	0.6966712409	0.9058848763	0.5521668162
1 0.6495148065	0.7326472578	1	0	1	0.6507341152
2 0.0618436719	0.9768320389	0.4620101523	0.5379898477	0.5008226443	0.3747365319
2 0	1	0.2654010152	0.7345989848	1	0
2 0.049208154	0.9691834138	0.7922165821	0.2077834179	0.3513754487	0.1136976606
2 0.1862824363	0.905009583	1	0	0.5997158058	0.3077128998
2 0.0605400443	0.961605856	0.8776006768	0.1223993232	0.137103658	0.2473501633
2 0.5813631354	0.6213797285	0.6352216582	0.3647783418	0.5554155933	0.1885726411
2 0.085646816	0.971279901	0.2012690355	0.7987309645	0.0197755658	0.0274494952
2 0.1513559358	0.9241111582	0.4466395939	0.5533604061	0.0969756412	0.2459808343
2 1	0	0	1	0	0.2624201842
2 0.5644369471	0.6451806333	0.5377834179	0.4622165821	0.650549099	1
2 0.0361940133	0.9697897072	0.6346632826	0.3653367174	0.0331432663	0.1254733614
2 0.3419115677	0.825567373	0.5290862944	0.4709137056	0.2582087348	0.2605926498
2 0.7668615312	0.3961117268	0.3758240271	0.6241759729	0.3136568698	0.4235687075
2 0.7382434696	0.4414371598	0.1713265651	0.8286734349	0.5597339269	0.2154293243
3 0.9649765999	0.3140287426	0.6800657516	0.3199342484	0.9292923269	0.0060455087
3 1	0.2746974887	0.6431032834	0.3568967166	0.9834911061	0.0326603526
3 0.9719233155	0.3157548271	0.6298858907	0.3701141093	0.9403862542	0.0444469954
3 0.8610623062	0.4046347858	1	0	1	0.0161136007
3 0.9942385114	0.2821006436	0.6564876238	0.3435123762	0.9764580975	0.0876859933
3 0.9175923315	0.3570188364	0.7968291385	0.2031708615	0.9373357625	0
3 0.9553921624	0.3126662457	0.7964024948	0.2035975052	0.9700711252	0.0485173681
3 0.9496893149	0.3263677593	0.7172122902	0.2827877098	0.9160052618	0.0099629412
3 0.7390166338	0	0	1	0	0.9084153958
3 0	1	0.8328598397	0.1671401603	0.3611469154	1
